Community,kt2440.cfu.24h,kt2440.cfu.96h,kt2440.cfu.7d,sbw25.cfu.24h,sbw25.cfu.96h,sbw25.cfu.7d
AE10,0,0,0,2142.117415,6056.337933,0
AE102,0,0,0,787.6816644,0,0
AE104,0,0,0,15131.58394,0,0
AE105,3672.804842,0,0,522289.3838,8517.05364,221.0610828
AE106,91168.69433,0,0,2876959.611,134555.2393,35125.79577
AE108,59263.75537,0,0,1187015.312,95816.17434,26157.27637
AE109,0,0,0,674.9587786,0,0
AE11,0,3967.581932,0,6559.42188,21817.74008,0
AE111,0,0,0,1504.695226,0,0
AE112,0,0,0,7943.360882,1422.135573,902.6382717
AE113,0,0,0,9520.279867,2449.210834,3216.267682
AE114,0,1578.64366,0,7323.865226,1587.873057,2012.264366
AE115,0,2183.859026,0,9520.279867,5657.886392,1258.977261
AE117,17344.20594,0,0,39283.84119,9786.749463,674.9587786
AE118,0,0,0,9520.279867,6458.372853,787.6816644
AE119,0,0,0,17015.82491,7891.47828,2537.949228
AE120,6950.923083,0,0,14116.82546,492.814623,158.4922935
AE122,6950.923083,0,0,24275.85301,3539.86804,353.3291292
AE123,5212.074645,0,0,43960.17011,0,11788.06654
AE124,0,0,0,15131.58394,0,787.6816644
AE125,0,0,0,9520.279867,1098.638664,0
AE127,2108.584595,0,0,7170.071389,0,0
AE128,0,0,0,8884.89798,1422.135573,0
AE13,1426.103383,64186.29774,0,43175.88316,314952.4441,1381.09559
AE130,4114.66479,0,0,34112.13568,5657.886392,1019.616505
AE131,964.5194519,0,0,24275.85301,14397.74266,71.09463963
AE133,6083.793711,0,0,17361.56887,1258.977261,0
AE134,41770.33143,0,0,44549.633,11514.72279,253.3233954
AE135,7814.078284,0,0,15984.34235,7067.789166,0
