OTU1	OTU2	corr	type
herbaspirillum.rubrisubalbicans	novispirillum.novospirillum.itersonii	0.365492100117085	NA
acidovorax.spp.	acidovorax.facilis	0.321613983729695	NA
devosia.yakushimanensis	devosia.soli	0.409397505888052	NA
paucimonas.spp.	pseudomonas.pseudoalcaligenes	0.340934581383752	NA
herbaspirillum.spp.	pseudomonas.pseudoalcaligenes	0.406524125170276	NA
phenylobacterium.spp.	pseudomonas.pseudoalcaligenes	0.414917418735419	NA
massilia.timonae	pseudomonas.pseudoalcaligenes	0.425339658770374	NA
stenotrophomonas.maltophilia	pseudomonas.pseudoalcaligenes	0.33583309594705	NA
acinetobacter.johnsonii	pseudomonas.pseudoalcaligenes	0.355160761836063	NA
pseudomonas.balearica	pseudomonas.pseudoalcaligenes	0.344068263022907	NA
acinetobacter.calcoaceticus	pseudomonas.pseudoalcaligenes	0.353933404949506	NA
brevundimonas.aurantiaca	pseudomonas.pseudoalcaligenes	0.433719178616958	NA
phenylobacterium.spp.	aquabacterium.spp.	0.349399584256667	NA
brevundimonas.aurantiaca	aquabacterium.spp.	0.331121889933246	NA
pseudomonas.pseudoalcaligenes	aquabacterium.spp.	0.320748698367997	NA
burkholderia.sediminicola	burkholderia.sordidicola	0.307775035593778	NA
arthrobacter.protophormiae	arthrobacter.sulfureus	0.304408536259092	NA
arthrobacter.sp.	arthrobacter.sulfureus	0.343466288586064	NA
pedobacter.steynii	pedobacter.insulae	0.39622086942549	NA
paenibacillus.favisporus	paenibacillus.xylanilyticus	0.536725182389973	NA
pedobacter.wanjuense	pedobacter.rhizospharae	0.316352643419361	NA
streptomyces.viridochromogenes	streptomyces.sanglieri	0.353409188242967	NA
streptomyces.xanthochromogenes	streptomyces.sanglieri	0.318459120403922	NA
pseudomonas.rhizosphaerae	pseudomonas.trivialis	0.324479314931905	NA
pseudomonas.vranovensis	pseudomonas.trivialis	0.310670605834206	NA
pseudomonas.plecoglossicida	pseudomonas.trivialis	0.351588479271294	NA
pseudomonas.tolaasii	pseudomonas.trivialis	0.534617669208336	NA
pseudomonas.thivervalensis	pseudomonas.trivialis	0.551631867389468	NA
pseudomonas.putida	pseudomonas.trivialis	0.554156746227227	NA
pseudomonas.veronii	pseudomonas.trivialis	0.699865034733155	NA
pseudomonas.migulae	pseudomonas.trivialis	0.699172273701395	NA
